"","Source","Target","Type","Kind","Id","Label","timeset","Weight","MMNT.EdgeType","Academic.Year"
"1","Piet Van Nuffel","Benoit Allemeersch","Undirected","co-promotion",6,"Nowak",NA,1,NA,"2020-2021"
"2","Jan Wouters","Geert Van Calster","Undirected","co-promotion",7,"Cogolati",NA,1,NA,"2020-2021"
"3","Vincent Sagaert","Matthias Edward Storme","Undirected","co-promotion",8,"Verheye",NA,1,NA,"2020-2021"
"4","Elise Muir","Monica Claes","Undirected","co-promotion",9,"Dermine",NA,1,NA,"2020-2021"
"5","Anton Vedder","Herman Nys","Undirected","co-promotion",10,"Verhenneman",NA,1,NA,"2020-2021"
"6","Bernard Tilleman","Alain Laurent Verbeke","Undirected","co-promotion",11,"Van Damme",NA,1,NA,"2020-2021"
"7","Stefaan Pleysier","Johan Put","Undirected","co-promotion",12,"Coenen",NA,1,NA,"2020-2021"
"8","Stefan Sottiaux","Raf Geenens","Undirected","co-promotion",13,"Maes",NA,1,NA,"2019-2020"
"9","Arthur Dyevre","Jan Wouters","Undirected","co-promotion",14,"Ovadek",NA,1,NA,"2019-2020"
"10","Bernard Tilleman","Alain Laurent Verbeke","Undirected","co-promotion",15,"Gladinez",NA,1,NA,"2019-2020"
"11","Stefaan Voet","Ilse Samoy","Undirected","co-promotion",16,"Gillaerts",NA,1,NA,"2019-2020"
"12","Michele Panzavolta","Frank Verbruggen","Undirected","co-promotion",17,"Royer",NA,1,NA,"2019-2020"
"13","Arthur Dyevre","Tobias Nowak","Undirected","co-promotion",18,"Glavina",NA,1,NA,"2019-2020"
"14","Geert De Baere","Esther Van Zimmeren","Undirected","co-promotion",19,"Tanghe",NA,1,NA,"2019-2020"
"15","Jan Wouters","Tom Ruys","Undirected","co-promotion",20,"Verlinden",NA,1,NA,"2019-2020"
"16","Luc De Broe","Axel Cordewener","Undirected","co-promotion",21,"Rolle",NA,1,NA,"2019-2020"
"17","Stefaan Pleysier","Jeroen Maesschalck","Undirected","co-promotion",22,"Paesen",NA,1,NA,"2019-2020"
"18","Jan Wouters","Geert Van Calster","Undirected","co-promotion",23,"Willemyns",NA,1,NA,"2019-2020"
"19","Geert De Baere","Stefan Sottiaux","Undirected","co-promotion",24,"Verellen",NA,1,NA,"2018-2019"
"20","Vincent Sagaert","Gaël Chantepie","Undirected","co-promotion",25,"Demeyere",NA,1,NA,"2018-2019"
"21","Tom Daems","Tom Vander Beken","Undirected","co-promotion",26,"Gudders",NA,1,NA,"2018-2019"
"22","Peggy Valcke","Eleni Kosta","Undirected","co-promotion",27,"Clifford",NA,1,NA,"2018-2019"
"23","Evelyne Terryn","Bernard Tilleman","Undirected","co-promotion",28,"Vandemaele",NA,1,NA,"2018-2019"
"24","Geertrui Van Overwalle","Esther Van Zimmeren","Undirected","co-promotion",29,"Gorbatyuk",NA,1,NA,"2018-2019"
"25","Geertrui Van Overwalle","Marie-Christine Janssens","Undirected","co-promotion",30,"Léonard",NA,1,NA,"2018-2019"
"26","Steven Lierman","Paul Lemmens","Undirected","co-promotion",31,"Van De Weyer",NA,1,NA,"2018-2019"
"27","Bernard Tilleman","Alain Laurent Verbeke","Undirected","co-promotion",32,"Vancoppernolle",NA,1,NA,"2018-2019"
"28","Paul Schoukens","Borja Suárez Coruja","Undirected","co-promotion",33,"Rodriguez",NA,1,NA,"2018-2019"
"29","Peggy Valcke","Eva Lievens","Undirected","co-promotion",34,"Verdoodt",NA,1,NA,"2018-2019"
"30","Bernard Tilleman","Sophie Styns","Undirected","co-promotion",35,"De Rey",NA,1,NA,"2018-2019"
"31","Bernard Tilleman","Koen Geens","Undirected","co-promotion",36,"Hallemeersch",NA,1,NA,"2018-2019"
"32","Paul Lemmens","Geert Van Calster","Undirected","co-promotion",37,"Daelman",NA,1,NA,"2018-2019"
"33","Veerle Colaert","Raf Verstraeten","Undirected","co-promotion",38,"Incalza",NA,1,NA,"2018-2019"
"34","Sophie Styns","Ilse Samoy","Undirected","co-promotion",39,"Verjans (!! Herman Nys third co-promotor)",NA,1,NA,"2018-2019"
"35","Peggy Valcke","Seda Gürses","Undirected","co-promotion",40,"Ausloos (!! Eleni Kosta third co-promotor)",NA,1,NA,"2018-2019"
"36","Frank Verbruggen","Raf Verstraeten","Undirected","co-promotion",41,"Bailleux",NA,1,NA,"2018-2019"
"37","Stefan Sottiaux","Kurt Willems","Undirected","co-promotion",42,"Lievens",NA,1,NA,"2018-2019"
"38","Evelyne Terryn","Bert Keirsbilck","Undirected","co-promotion",43,"De Pourcq",NA,1,NA,"2017-1018"
"39","Paul Schoukens","Danny Pieters","Undirected","co-promotion",44,"De Becker (!! Geert De Baere third co-promotor)",NA,1,NA,"2017-2018"
"40","Bert Demarsin","Anne Draye","Undirected","co-promotion",45,"Aerts",NA,1,NA,"2017-2018"
"41","Geert Van Calster","Bernard Vanheusden","Undirected","co-promotion",46,"de Römph",NA,1,NA,"2017-2018"
"42","Wim Decock","Emanuele Conte","Undirected","co-promotion",47,"Astorri",NA,1,NA,"2017-2018"
"43","Alain Laurent Verbeke","Renate Barbaix","Undirected","co-promotion",48,"Van Den Broeck",NA,1,NA,"2017-2018"
"44","Sophie Styns","Ilse Samoy","Undirected","co-promotion",49,"Peeraer",NA,1,NA,"2017-2018"
"45","Jeroen Maesschalck","Kim Loyens","Undirected","co-promotion",50,"Stinckens",NA,1,NA,"2017-2018"
"46","Peggy Valcke","Eva Lievens","Undirected","co-promotion",51,"Kuczerawy",NA,1,NA,"2017-2018"
"47","Luc De Broe","Frans Vanistendael","Undirected","co-promotion",52,"Fernandes",NA,1,NA,"2017-2018"
"48","Bernard Tilleman","Alain Laurent Verbeke","Undirected","co-promotion",53,"Vynckier",NA,1,NA,"2017-2018"
"49","Wim Decock","Laurent Waelkens","Undirected","co-promotion",54,"Druwé",NA,1,NA,"2017-2018"
"50","Frank Verbruggen","Charlotte Declerck","Undirected","co-promotion",55,"Marlier",NA,1,NA,"2017-2018"
"51","Peggy Valcke","Veerle Colaert","Undirected","co-promotion",56,"Vandezande",NA,1,NA,"2017-2018"
"52","Bernard Tilleman","Alain Laurent Verbeke","Undirected","co-promotion",57,"Swennen",NA,1,NA,"2017-2018"
"53","Jan Wouters","Geert De Baere","Undirected","co-promotion",58,"Duquet",NA,1,NA,"2017-2018"
"54","Johan Goethals","Alison Liebling","Undirected","co-promotion",59,"Robert",NA,1,NA,"2017-2018"
"55","Benoit Allemeersch","Frank Fleerackers","Undirected","co-promotion",60,"Nelissen",NA,1,NA,"2017-2018"
"56","Stefaan Pleysier","Nicole Vettenburg","Undirected","co-promotion",61,"Burssens",NA,1,NA,"2017-2018"
"57","Stephan Parmentier","Wouter Vandenhole","Undirected","co-promotion",62,"Saeed",NA,1,NA,"2017-2018"
"58","Kurt Deketelaere","Marleen Van Rijswick","Undirected","co-promotion",63,"Suykens",NA,1,NA,"2017-2018"
"59","Frank Verbruggen","Katalin Ligeti","Undirected","co-promotion",64,"Lamberigts",NA,1,NA,"2016-2017"
"60","Marie-Claire Foblets","Patrick Devlieger","Undirected","co-promotion",65,"Di-Makungu",NA,1,NA,"2016-2017"
"61","Ilse Samoy","Benoit Allemeersch","Undirected","co-promotion",66,"Vandenbussche",NA,1,NA,"2016-2017"
"62","Stefaan Pleysier","Johan Put","Undirected","co-promotion",67,"Verdonck",NA,1,NA,"2016-2017"
"63","Vincent Sagaert","Alain Laurent Verbeke","Undirected","co-promotion",68,"Dewitte",NA,1,NA,"2016-2017"
"64","Geert De Baere","Cedric Ryngaert","Undirected","co-promotion",69,"Freitas de Barros",NA,1,NA,"2016-2017"
"65","Johan Put","Stefaan Pleysier","Undirected","co-promotion",70,"Troonbeeckx",NA,1,NA,"2016-2017"
"66","Anton Vedder","Frank Hendrickx","Undirected","co-promotion",71,"Van Der Sype",NA,1,NA,"2016-2017"
"67","Geert Van Calster","Jan Wouters","Undirected","co-promotion",72,"Bijlmakers",NA,1,NA,"2016-2017"
"68","Jan Wouters","Paul Lemmens","Undirected","co-promotion",73,"Meeuwissen",NA,1,NA,"2016-2017"
"69","Evelyne Terryn","Stefaan Callens","Undirected","co-promotion",74,"Syx",NA,1,NA,"2016-2017"
"70","Herman Cousy","Caroline Van Schoubroeck","Undirected","co-promotion",75,"Goessens",NA,1,NA,"2016-2017"
"71","Frank Verbruggen","Raf Verstraeten","Undirected","co-promotion",76,"Conings",NA,1,NA,"2016-2017"
"72","Ivo Aertsen","Lode Walgrave","Undirected","co-promotion",77,"Pali",NA,1,NA,"2016-2017"
"73","Jan Wouters","Cedric Ryngaert","Undirected","co-promotion",78,"Chan",NA,1,NA,"2016-2017"
"74","Geertrui Van Overwalle","Olivier De Schutter","Undirected","co-promotion",79,"Frison (!! Tom Dedeurwaerdere third co-promotor)",NA,1,NA,"2016-2017"
"75","Letizia Paoli","Frank Hendrickx","Undirected","co-promotion",80,"Fincoeur (!! Fabien Ohl third co-promotor)",NA,1,NA,"2016-2017"
"76","Bernard Tilleman","Patrick Wery","Undirected","co-promotion",81,"Verkempinck",NA,1,NA,"2015-2016"
"77","Paul Schoukens","Danny Pieters","Undirected","co-promotion",82,"Kestemont",NA,1,NA,"2015-2016"
"78","Jan Wouters","Geert Van Calster","Undirected","co-promotion",83,"Geraets",NA,1,NA,"2015-2016"
"79","Vincent Sagaert","Alain Laurent Verbeke","Undirected","co-promotion",84,"Apers",NA,1,NA,"2015-2016"
"80","Peggy Valcke","Els Kindt","Undirected","co-promotion",85,"Van Alsenoy",NA,1,NA,"2015-2016"
"81","Peggy Valcke","Wouter Devroe","Undirected","co-promotion",86,"Graef",NA,1,NA,"2015-2016"
"82","Letizia Paoli","Stefaan Pleysier","Undirected","co-promotion",87,"Adriaenssen (!! Jan Van den Bulck third co-promotor)",NA,1,NA,"2015-2016"
"83","Frank Verbruggen","Raf Verstraeten","Undirected","co-promotion",88,"Huysmans",NA,1,NA,"2015-2016"
"84","Bernard Tilleman","Alain Laurent Verbeke","Undirected","co-promotion",89,"Johanna Waelkens",NA,1,NA,"2015-2016"
"85","Marie-Claire Foblets","Piet Van Nuffel","Undirected","co-promotion",90,"Verbist (!! Piet Van Nuffel third co-promotor)",NA,1,NA,"2015-2016"
"86","Vincent Sagaert","Alain Laurent Verbeke","Undirected","co-promotion",91,"Gruyaert",NA,1,NA,"2015-2016"
"87","Koen Lenaerts","Paul Lemmens","Undirected","co-promotion",92,"Van Malleghem",NA,1,NA,"2015-2016"
"88","Koen Geens","Marieke Wyckaert","Undirected","co-promotion",93,"De Dier",NA,1,NA,"2015-2016"
"89","Frank Hendrickx","Sophie Styns","Undirected","co-promotion",94,"Van Bever",NA,1,NA,"2015-2016"
"90","Jeroen Maesschalck","Stefaan Pleysier","Undirected","co-promotion",95,"Wouters",NA,1,NA,"2015-2016"
"91","Wouter Devroe","Luc De Broe","Undirected","co-promotion",96,"Vervoort",NA,1,NA,"2015-2016"
"92","Walter Pintens","Alain Laurent Verbeke","Undirected","co-promotion",97,"Goossens",NA,1,NA,"2015-2016"
"93","Marie-Christine Janssens","Hendrik Van Hees","Undirected","co-promotion",98,"Coene",NA,1,NA,"2015-2016"
"94","Letizia Paoli","Johan Leman","Undirected","co-promotion",99,"Van Hellemont (!! Lode Walgrave third co-promotor)",NA,1,NA,"2015-2016"
"95","Stefan Sottiaux","Andre Alen","Undirected","co-promotion",100,"D'Espallier",NA,1,NA,"2014-2015"
"96","Sophie Styns","Patrick Wery","Undirected","co-promotion",101,"Jansen",NA,1,NA,"2014-2015"
"97","Jan Wouters","Geert Van Calster","Undirected","co-promotion",102,"Natens",NA,1,NA,"2014-2015"
"98","Alain Laurent Verbeke","Bernard Tilleman","Undirected","co-promotion",103,"Brulez",NA,1,NA,"2014-2015"
"99","Bernard Tilleman","Alain Laurent Verbeke","Undirected","co-promotion",104,"Withofs",NA,1,NA,"2014-2015"
"100","Geert Vervaeke","Johan Put","Undirected","co-promotion",105,"Goedseels",NA,1,NA,"2014-2015"
"101","Jan Wouters","Geert Van Calster","Undirected","co-promotion",106,"Rojas",NA,1,NA,"2014-2015"
"102","Marie-Claire Foblets","Dirk Vanheule","Undirected","co-promotion",107,"Maes",NA,1,NA,"2014-2015"
"103","Vincent Sagaert","Alain Laurent Verbeke","Undirected","co-promotion",108,"Bouly",NA,1,NA,"2014-2015"
"104","Jeroen Maesschalck","Sofie De Kimpe","Undirected","co-promotion",109,"De Schrijver",NA,1,NA,"2014-2015"
"105","Julien Stuyck","Wouter Devroe","Undirected","co-promotion",110,"Parlak",NA,1,NA,"2013-2014"
"106","Paul Schoukens","Danny Pieters","Undirected","co-promotion",111,"Sokol",NA,1,NA,"2013-2014"
"107","Bernard Tilleman","Alain Laurent Verbeke","Undirected","co-promotion",112,"Vandenbogaerde",NA,1,NA,"2013-2014"
"108","Bernard Tilleman","Alain Laurent Verbeke","Undirected","co-promotion",113,"Verheyen",NA,1,NA,"2013-2014"
"109","Stephan Parmentier","Elmar Weitekamp","Undirected","co-promotion",114,"Bueno",NA,1,NA,"2013-2014"
"110","Wouter Devroe","Koen Geens","Undirected","co-promotion",115,"Van Cleynenbreugel",NA,1,NA,"2012-2013"
"111","Herman Nys","Caroline Van Schoubroeck","Undirected","co-promotion",116,"Defloor",NA,1,NA,"2012-2013"
"112","Vincent Sagaert","Alain Laurent Verbeke","Undirected","co-promotion",117,"Swinnen",NA,1,NA,"2012-2013"
"113","Frank Verbruggen","Koen Lenaerts","Undirected","co-promotion",118,"Franssen",NA,1,NA,"2012-2013"
"114","Andre Alen","Koen Lenaerts","Undirected","co-promotion",119,"Cloots",NA,1,NA,"2012-2013"
"115","Vincent Sagaert","Alain Laurent Verbeke","Undirected","co-promotion",120,"del Corral",NA,1,NA,"2012-2013"
"116","Bernard Tilleman","Alain Laurent Verbeke","Undirected","co-promotion",121,"De Man",NA,1,NA,"2012-2013"
"117","Sophie Styns","Ilse Samoy","Undirected","co-promotion",122,"Lenaerts",NA,1,NA,"2012-2013"
"118","Jan Wouters","Rene Foque","Undirected","co-promotion",123,"Verhoeven",NA,1,NA,"2011-2012"
"119","Evelyne Terryn","Ilse Samoy","Undirected","co-promotion",124,"Naeyaert (!! Bernard Tilleman third co-promotor)",NA,1,NA,"2011-2012"
"120","Ivo Aertsen","Johan Goethals","Undirected","co-promotion",125,"Bolivar",NA,1,NA,"2011-2012"
"121","Johan Put","Jozef Van Langendonck","Undirected","co-promotion",126,"Flohimont",NA,1,NA,"2011-2012"
"122","Alain Laurent Verbeke","Hugo Vandenberghe","Undirected","co-promotion",127,"Muylle (!!Vincent Sagaert third co-promotor)",NA,1,NA,"2011-2012"
"123","Koen Geens","Eric Dirix","Undirected","co-promotion",128,"Vananroye",NA,1,NA,"2011-2012"
"124","Johan Put","Lieven Pauwels","Undirected","co-promotion",129,"Op de Beeck",NA,1,NA,"2011-2012"
"125","Othmar Vanachter","Frank Hendrickx","Undirected","co-promotion",130,"Vandeputte",NA,1,NA,"2011-2012"
"126","Laurent Waelkens","Emanuele Conte","Undirected","co-promotion",131,"Decock",NA,1,NA,"2011-2012"
"127","Johan Put","Stefaan Pleysier","Undirected","co-promotion",132,"Cops",NA,1,NA,"2011-2012"
"128","Ivo Aertsen","Johan Goethals","Undirected","co-promotion",133,"De Mesmaecker",NA,1,NA,"2011-2012"
"129","Bernard Tilleman","Alain Laurent Verbeke","Undirected","co-promotion",134,"Heeb",NA,1,NA,"2011-2012"
"130","Peggy Valcke","Jos Dumortier","Undirected","co-promotion",135,"Lefever (!! Frank Hendrickx third co-promotor)",NA,1,NA,"2011-2012"
"131","Kurt Deketelaere","Ronnie Belmans","Undirected","co-promotion",136,"Delvaux",NA,1,NA,"2011-2012"
"132","Bernard Tilleman","Alain Laurent Verbeke","Undirected","co-promotion",138,"Willems",NA,1,NA,"2010-2011"
"133","Peggy Valcke","Julien Stuyck","Undirected","co-promotion",139,"Hou",NA,1,NA,"2010-2011"
"134","Danny Pieters","Paul Schoukens","Undirected","co-promotion",140,"Kapuy",NA,1,NA,"2010-2011"
"135","Jos Dumortier","Peggy Valcke","Undirected","co-promotion",141,"Kosta",NA,1,NA,"2010-2011"
"136","Stefaan Callens","Wouter Devroe","Undirected","co-promotion",142,"Fornaciari",NA,1,NA,"2010-2011"
"137","Julien Stuyck","Wouter Devroe","Undirected","co-promotion",143,"Peeters",NA,1,NA,"2010-2011"
"138","Alain Laurent Verbeke","Bernard Tilleman","Undirected","co-promotion",144,"Carette",NA,1,NA,"2010-2011"
"139","Andre Alen","Paul Van Orshoven","Undirected","co-promotion",145,"Theunis",NA,1,NA,"2010-2011"
"140","Jan Wouters","Koen Lenaerts","Undirected","co-promotion",146,"De Meester",NA,1,NA,"2010-2011"
"141","Bernard Tilleman","Alain Laurent Verbeke","Undirected","co-promotion",147,"Andries",NA,1,NA,"2010-2011"
"142","Alain Laurent Verbeke","Bernard Tilleman","Undirected","co-promotion",148,"Hoekx",NA,1,NA,"2010-2011"
"143","Herman Cousy","Caroline Van Schoubroeck","Undirected","co-promotion",149,"Thiery",NA,1,NA,"2009-2010"
"144","Koen Lenaerts","Frank Verbruggen","Undirected","co-promotion",150,"Gros-Tchorbadjiyska",NA,1,NA,"2009-2010"
"145","Marie-Claire Foblets","Paul Lemmens","Undirected","co-promotion",151,"Desmet",NA,1,NA,"2009-2010"
"146","Wouter Devroe","Julien Stuyck","Undirected","co-promotion",152,"Keirsbilck (!! Evelyne Terryn third co-promotor)",NA,1,NA,"2009-2010"
"147","Kurt Deketelaere","Geert Van Calster","Undirected","co-promotion",153,"Gao",NA,1,NA,"2009-2010"
"148","Jos Dumortier","Peggy Valcke","Undirected","co-promotion",154,"Lievens",NA,1,NA,"2008-2009"
"149","Frank Verbruggen","Johan Leman","Undirected","co-promotion",155,"Arsovska (!! Letizia Paoli third co-promotor)",NA,1,NA,"2008-2009"
"150","Bernard Tilleman","Alain Laurent Verbeke","Undirected","co-promotion",156,"Claeys",NA,1,NA,"2008-2009"
"151","Paul Lemmens","Jan Wouters","Undirected","co-promotion",157,"Vanneste",NA,1,NA,"2008-2009"
"152","Alain Laurent Verbeke","Bernard Tilleman","Undirected","co-promotion",158,"Vanhove",NA,1,NA,"2008-2009"
"153","Wouter Devroe","Luc De Broe","Undirected","co-promotion",159,"Vyncke",NA,1,NA,"2008-2009"
"154","Geert Vervaeke","Johan Goethals","Undirected","co-promotion",160,"Pleysier",NA,1,NA,"2008-2009"
"155","Walter Pintens","Frank Gotzen","Undirected","co-promotion",161,"Declerck",NA,1,NA,"2008-2009"
"156","Bernard Tilleman","Alain Laurent Verbeke","Undirected","co-promotion",162,"Demarsin",NA,1,NA,"2007-2008"
"157","Wouter Devroe","Julien Stuyck","Undirected","co-promotion",163,"Brammer",NA,1,NA,"2007-2008"
"158","Lieven Dupont","Antonius Peters","Undirected","co-promotion",164,"Maes",NA,1,NA,"2007-2008"
"159","Paul Lemmens","Stephan Parmentier","Undirected","co-promotion",165,"Sardaro",NA,1,NA,"2007-2008"
"160","Bernard Tilleman","Alain Laurent Verbeke","Undirected","co-promotion",166,"Dehouck",NA,1,NA,"2007-2008"
"161","Stephan Parmentier","Luc Huyse","Undirected","co-promotion",167,"Verdoodt",NA,1,NA,"2006-2007"
"162","Andre Alen","Rene Foque","Undirected","co-promotion",168,"Haljan",NA,1,NA,"2006-2007"
"163","Kurt Deketelaere","Anne Draye","Undirected","co-promotion",169,"Vanheusden",NA,1,NA,"2006-2007"
"164","Bernard Tilleman","Alain Laurent Verbeke","Undirected","co-promotion",170,"De Coninck",NA,1,NA,"2006-2007"
"165","Frans Vanistendael","Roger Blanpain","Undirected","co-promotion",171,"Tabu",NA,1,NA,"2006-2007"
"166","Herman Cousy","Julien Stuyck","Undirected","co-promotion",172,"Eyskens",NA,1,NA,"2006-2007"
"167","Herman Cousy","Eric Dirix","Undirected","co-promotion",173,"Vanmeenen",NA,1,NA,"2005-2006"
"168","Cyrille Fijnaut","Frank Hutsebaut","Undirected","co-promotion",174,"Goossens",NA,1,NA,"2005-2006"
"169","Alain Laurent Verbeke","Frans Bouckaert","Undirected","co-promotion",175,"Byttebier",NA,1,NA,"2005-2006"
"170","Julien Stuyck","Sophie Styns","Undirected","co-promotion",176,"Terryn",NA,1,NA,"2004-2005"
